,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
10440205,2019-04-03 04:24:50,Lisa_Singh,29401651,Lisa Singh,Australian Labor Party,Tasmania,This govt’s unprecedented cuts to aid and development over the last five years have had a terrible impact on some of the poorest people in our region. It has damaged Australia’s reputation and is not in our interest. #Budget2019
10952746,2019-05-01 21:29:37,kimbakit,20494141,Kimberley Kitching 🇦🇺,Australian Labor Party,Victoria,"The ""Liberals"" have doubled federal government debt in six years and have failed to make foreign companies like Google and Facebook pay their fair share of tax on the billions they're making in Australia #auspol #ausvotes"
10276897,2019-03-27 01:23:02,polley_helen,929373746,Helen Polley,Australian Labor Party,Tasmania,Only Labor invests in TAFE. We know how important TAFE is to our economy. #TAFE #ElectionNow #politas #auspol
11125610,2019-05-10 01:30:00,JEChalmers,258124400,Jim Chalmers MP,Australian Labor Party,"Rankin, Queensland",Our strategy will get the economy growing the right way; the Liberals’ is a recipe for more of the same stagnant wages and floundering economy we’ve seen on their watch #auspol #ausvotes
10163756,2019-03-22 01:21:53,Mark_Butler_MP,220883243,Mark Butler MP,Australian Labor Party,"Port Adelaide, South Australia","FANTASTIC NEWS!
Congratulations to the Save @Shed26_5015 campaign and everyone involved in preserving the maritime heritage of the Port!"
10997102,2019-05-04 02:02:59,LMChesters,96088711,Lisa Chesters MP,Australian Labor Party,"Bendigo, Victoria",This is one reason why Labor has announced to will fund the LaTrobe University BENDIGO Road Trauma Research Hub
10465170,2019-04-04 00:47:21,polley_helen,929373746,Helen Polley,Australian Labor Party,Tasmania,We are so proud and privileged to have Sen Pat Dodson on the Labor Team. Worth reading his speech &amp; Penny Wong’s. We stand with our NZ friends. #auspol @SenatorWong #politas
10907755,2019-04-29 21:43:05,LMChesters,96088711,Lisa Chesters MP,Australian Labor Party,"Bendigo, Victoria","Perhaps @NationalFarmers could focus on ending rampant exploitation of farm workers. A three-year investigation into worker exploitation by Australia's workplace watchdog found some foreign workers on Australian farms are ""bonded like slaves"" #ausvotes"
10593975,2019-04-10 02:32:53,CatherineKingMP,47273818,Catherine King MP,Australian Labor Party,"Ballarat, Victoria",Very pleased to hear the HC decision to uphold VIc and Tas safe access zones.  Other states should now act. Women should not be harassed and bullied when accessing abortion services.
10619171,2019-04-10 23:54:37,AlboMP,254515782,Anthony Albanese,Australian Labor Party,"Grayndler, New South Wales",My 1st media Conference of the formal campaign will be with @SamPCrosby at Five Dock about #MetroWest and the need to fund #PublicTransport
10491602,2019-04-04 23:18:28,polley_helen,929373746,Helen Polley,Australian Labor Party,Tasmania,"BREAKING: Dept officials have just confirmed NO NEW home care packages in #Budget2019!! 128,000 vulnerable older Aust waiting for care! Aged care has NEVER been a priority for this out of touch Govt #auspol #politas"
10640597,2019-04-11 21:44:18,fitzhunter,147869440,Joel Fitzgibbon,Australian Labor Party,"Hunter, New South Wales",Like many I’m listening to DPM (in case you didn’t know)Michael McCormack on @RNBreakfast No wonder regional Australians are leaving the Nats in droves! @frankelly08
10858200,2019-04-27 05:39:59,StephenJonesMP,284933456,Stephen Jones MP,Australian Labor Party,"Whitlam, New South Wales","Clive Palmer is a Big Businessman. Scott Morrison backs Big Business ahead of workers.

The preference deal
Not paying his workers

No worries"
11075562,2019-05-08 04:27:47,BrianMitchellMP,16663973,Brian Mitchell MP,Australian Labor Party,"Lyons, Tasmania","Powerful stuff from Bill. The Murdoch papers disgraced themselves this morning, even by the low standards we’ve come to expect from them, but this guy just rises above it every time they serve it up."
10735523,2019-04-20 00:48:25,CatherineKingMP,47273818,Catherine King MP,Australian Labor Party,"Ballarat, Victoria","We already have.

- An extra $2.8 billion through our Better Hospitals Fund
- $250m for a national elective surgery waiting list blitz
- $500m to improve wait times for public hospital cancer patients"
11206673,2019-05-14 00:24:03,GrahamPerrettMP,251976625,Graham Perrett,Australian Labor Party,"Moreton, Queensland",The two NAPLAN students in my household went off to school this morning a little stressed and a little nervous. I hope your kids are going to get through the day okay if they’re also experiencing the joys of this national test.
10417771,2019-04-02 08:52:56,polley_helen,929373746,Helen Polley,Australian Labor Party,Tasmania,"#Budget2019 from a Govt that has given up governing. No plan for wages, no plan to tackle power prices, no plan to address climate change and NO plan for the future #auspol #politas"
