,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
28024292,2021-07-24 02:50:50,vankayak,112815157,Adam van Koeverden,Liberal,Ontario,This is awesome. @EvanDunfee is a machine and I can’t wait to cheer him on with some macaroni and cheese.
29030461,2021-09-17 13:45:20,VBadawey,1002181382,Vance Badawey,Liberal,Ontario,"Thank you @CTFFCE for being such a strong voice for our teachers.

I would also like to thank @OSSTF22Niagara @ETFONiagara @niagaraot @OECTA_NEU @OECTA_NSU for your community engagement, partnership, and advocacy for their educators. I look forward to continuing to work together."
28792855,2021-09-06 14:23:31,juliedabrusin,382949896,Julie Dabrusin,Liberal,Ontario,"I'm so grateful to have been able to participate in yesterday's Rosh Hashanah celebration, to share some of my family's traditions, and to reflect on the past year with friends and colleagues. 

To all those celebrating, shana tova! 
??"
28382861,2021-08-14 14:30:08,MarcGarneau,80702644,Marc Garneau,Liberal,Quebec,We are closely following the political developments in #Tunisia. We urge all Tunisians to work together to ensure a peaceful and democratic political process which respects the rule of law. Canada stands with the Tunisian people in their continued democratic transition.
28524861,2021-08-22 18:05:35,JaimeBattiste,1166717268975333376,Jaime Battiste,Liberal,Nova Scotia,"Creating a privatized system that helps those with money first and leaves behind those who have less is the last thing this province needs. We cannot ever allow our healthcare system to be based on class. It would be disastrous for Cape Breton, for our province, and for Canada."
28038012,2021-07-25 02:24:40,LevittMichael,31764814,Michael Levitt ??,Liberal,Ontario,"Absolutely awful news! All of us at @CanadianFSWC are sending our thoughts and prayers to Paul’s family, friends and colleagues at @bnaibrithcanada. He was an incredibly talented and committed professional and most of all, a real mensch. May his memory forever be a blessing."
29039444,2021-09-17 20:46:27,JonathanWNV,2579359027,Jonathan Wilkinson ??,Liberal,British Columbia,"(1/3) Where is @LesJickling? Over the past few weeks, I have been happy to chat with people at four debates alongside Green and NDP candidates. Unfortunately, Mr. Jickling decided to only attend the closed meeting hosted by the #NorthVan Chamber of Commerce

#Elxn44"
28443250,2021-08-17 22:51:56,JustinTrudeau,14260960,Justin Trudeau,Liberal,Quebec,"I am disgusted and I am angry that @RachelBendayan and @AHousefather had signs vandalized with antisemitic graffiti. It is completely unacceptable. I stand in solidarity with Rachel and Anthony, and the entire Jewish community, against this type of hatred."
29010891,2021-09-16 15:25:08,TOAdamVaughan,2194707954,Adam Vaughan MP,Liberal,Ontario,"When our govt proposed support for Prov in the fight against COVID OToole moved a non-confidence motion and all @CPC_HQ MPs voted ❌ $5 Billion in Budget 2021 to help bolster surge capacity at hospitals.

He also has $0 in his platform to support vaccine passports.

#elxn44"
28461339,2021-08-18 19:42:08,AnnieKoutrakis,1170770038208565248,Annie Koutrakis,Liberal,Quebec,"The extreme weather ?? has faced recently is proof that climate change is real and already taking a toll on our earth. We must continue the work we started to take strong action against climate change, and ensure that all Canadians are able to combat these extreme weather events."
28000948,2021-07-22 17:26:59,Carolyn_Bennett,40550119,Carolyn Bennett,Liberal,Ontario,"""We need to appreciate that Jews alone cannot combat antisemitism. What is needed is a constituency of conscience &amp; action"" - The Hon. @IrwinCotler
 
The #AntisemitismSummit was an important reminder of the work we all need to do together to combat antisemitism in our communities"
28438069,2021-08-17 17:22:07,FilomenaTassi,4026045455,Filomena Tassi,Liberal,Ontario,"Way to go, Margaret Bennett (@being_margaret)! Running for office and running for fitness. You are a great candidate to bring Hamilton Centre to the governing table. Happy to have you on Liberal Team #HamOnt ! #AddWomenChangePolitics"
29064711,2021-09-19 12:00:35,JustinTrudeau,14260960,Justin Trudeau,Liberal,Quebec,"Terry Fox s'est lancé dans son Marathon de l'espoir pour sensibiliser le public, recueillir des fonds et donner de l'espoir aux personnes qui luttent contre le cancer. 41 ans + tard, des Canadiens à travers le pays poursuivront sa mission et courront et marcheront au nom de Terry"
