,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
11292967,2019-05-17 10:12:54,Heunicke,22695562,Magnus Heunicke,The Social Democratic Party,,"Liberal Alliance i går: - Det er bekymrende. Den her valgkamp kan blive umanerlig dyr, hvis man fortsætter i samme tempo med at brænde penge af.
Liberal Alliance i dag: - Vi vil sænke boligskatterne med 5 milliarder kroner..
#dkpol #ft19"
11632000,2019-06-02 19:27:34,Trinebramsen,130160241,Trine Bramsen,The Social Democratic Party,,"What.. Løkke begynder nu at tale om værdighed i valgkampen... efter Venstres ensidig tilsvining af S, løgne om vores politik og sågar spioner #dkpol"
11653927,2019-06-04 07:22:56,BennyEngelbrech,520266902,Benny Engelbrecht,The Social Democratic Party,,"Nu vil @Kristian_Jensen åbenbart bruge endnu flere penge han ikke har anvist finansiering til 🤷🏼‍♂️ #dkpol #fv19 #dkøko 
(bare en tanke: Måske skulle Venstre bare fremlægge en samlet økonomisk plan inden valget?)"
10957213,2019-05-02 07:29:58,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Enig i Lohses kritik af regeringen: ‘Det er overraskende og skammeligt, at Ellen Trane i den grad skubber ansvaret for psykiatrien fra sig. Kritikken fra den ansvarlige minister er så forsimplet og unuanceret, at det faktisk er helt uhørt, også selv om det er valgår.’ #dkpol"
11631764,2019-06-02 19:15:34,AneHalsboe,595006074,Ane Halsboe,The Social Democratic Party,,"Ja, Løkke. Der kom færre pædagoger. Men der kom også færre børn ‘11-15. I den kommende tid kommer der 50.000 flere børn. Skulle vi så ikke ansætte flere? Det vil @Spolitik Men @venstre har ikke penge til dem. Jeres politik vil betyde store forringelser #fv19"
10731273,2019-04-19 17:11:23,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Troels Lund siger helt korrekt lige nu i @tv2nyhederne at udenlandske firmaer spekulerer i ikke at registrere sig når de udfører arbejde i Danmark. Men han glemmer, at resultat af at denne regering har sparet massivt på indsatsen mod social dumping og på Arbejdstilsynet. #dkpol"
11523780,2019-05-26 22:00:18,Trinebramsen,130160241,Trine Bramsen,The Social Democratic Party,,Næsten 53 pct af stemmerne til ❤️ partier - og kæmpe valgdeltagelse. På Fyn tilmed stor fremgang til S 👍🏻
11600909,2019-05-31 13:17:11,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Jeg tvivler på, at notatet overhovedet eksisterer. Sjældent der er decideret mystik i en valgkamp #dkpol"
11044809,2019-05-06 18:29:55,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,Det her lille finte fra Erdogan som kærligt fik Valgkommissionen til at annullere kommunevalget i Istanbul kommer til at få stor opmærksom fra udlandet. Det her er det facto opgør med demokratiet i Tyrkiet. Trist #dkpol #dkmedier
10967301,2019-05-02 16:08:29,RabjergMadsen,2173972657,Chr Rabjerg Madsen,The Social Democratic Party,,"Det bliver op ad bakke for @venstredk spinhær at snyde nogen til at tro, at der er tale om en rettighed #dkpol"
10574175,2019-04-09 08:17:44,AneHalsboe,595006074,Ane Halsboe,The Social Democratic Party,,"I går besøgte jeg pædagoguddannelsen i Nordjylland, i dag går turen til @SthePol og uddannelsen i København. I uddanner fremtiden, det har vi ikke råd til at spare på #uddpol #dkpol"
10872469,2019-04-27 21:11:15,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,"Gentager! Tid til reflektion. Alle har et ansvar i at en racismedømt, hadprædikant med et politisk dagorden, der vækker mørke minder til bl.a Apartheid,  i dag er opstillingsberettiget! #dkpol #dkmedier #BrugStemmen"
11277180,2019-05-16 17:44:53,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Tak for en fantastisk god, spændende og intens debat på KU. Tak til @pokocph for at arrangere! #dkpol"
11656607,2019-06-04 10:02:16,mettereissmann,67062563,Mette Reissmann,The Social Democratic Party,,"Alt at vinde; stem på en kvinde. Der skal være en bedre kønsbalance i folketinget. Stem på en kvinde - gerne personligt på mig, hvis du kan 🤞😊🌹#stempåenkvinde #kvinderaadet #genderdiversity #WomenDeliver2019"
11359588,2019-05-20 11:27:34,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,Mette F: ‘Det er ikke økonomisk ansvarligt at spare på uddannelse. For så investerer man ikke i næste generation.’ #dkpol #2025plan
10979765,2019-05-03 08:40:15,MetteGjerskov,525315094,Mette Gjerskov,The Social Democratic Party,,"Det er da fair, at I siger så klart, at I ikke vil give nedslidte en ret til tidlig pension. 
Vi i @Spolitik  er bare ikke enige. Vi mener ikke, at nedslidte mennesker skal stå der bagest i køen med hatten i hånden. Sådan er det. #dkpol"
11067082,2019-05-07 17:35:52,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Pape mener åbenbart, at man kan løse alle nedslidningsproblemer ved at folk skifter job. Held og lykke med at søge nyt job som godt slidt 60-årig. #dkpol"
10881389,2019-04-28 13:20:22,simonkollerup,58884557,Simon Kollerup,The Social Democratic Party,,"Vigtigt at det ikke kun er den største kvotekonges advokat, som dominerer debatten om fiskeriet med sit usaglige debatindlæg i @jyllandsposten forleden. Her er et sagligt modsvar og bidrag i debatten fra “de små fiskere” i @FSK_Forening   Tak for at nuancere debat⚓️#dkfisk #dkpol"
11415192,2019-05-22 12:32:08,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Når Løkke undskylder sine besparelser på friskoler med, at Danmark blev ramt af en “voldsom international krise”, så skylder han at fortælle, at de Venstre-ledede regeringer, med ham selv på holdet, var medvirkende årsag til krisen og gjorde den dybere. #dkpol"
11359553,2019-05-20 11:25:13,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,‘Status quo i velfærden er ikke godt nok. Vi skal sætte flere penge af.’ Mette F om 2025-plan. #dkpol
11234130,2019-05-15 06:33:38,DanJoergensen,507425094,Dan Jørgensen,The Social Democratic Party,,"I @informeren kan man i dag læse at @larsloekke igen igen har talt usandt. Økonomer siger dels at han ikke overtog en dårlig økonomi fra S i 2015 og dels, at regeringen ikke har spændt livremmen ind. Men de har brugt pengene på skattelettelser i stedet for velfærd! #løkkelyver"
11558053,2019-05-28 22:21:30,Heunicke,22695562,Magnus Heunicke,The Social Democratic Party,,"Ok, rygtet siger at der skulle være valg-emojis på vej til os. Det vil jeg da lige prøve
#folketingsvalg 
#valg2019 
#fv19
Stærkt gået, @Twitter 😊
#dkpol"
10927805,2019-04-30 20:30:33,Jens_Joel,266667139,Jens Joel,The Social Democratic Party,,Panik før lukketid. Men heldigvis panik der betyder at Venstre nu også mener at tech-giganterne skal bidrage til fællesskabet. Troværdigt? Næppe. Men man begynder jo at ønske sig flere valgkampe :)... #dkpol
11347269,2019-05-19 18:33:15,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,"Lars Løkke vil altså IKKE være med til at inkludere landbrugets udledninger, når vi skal lave en ambitiøs klimalov med bindende mål - eller hvad fik I andre ud af den udenomssnak?  #dkpol #fv19"
11415873,2019-05-22 12:53:25,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,Lars Løkke glemmer at fortælle at de 21 sundhedsfællesskaber ikke får beslutningskompetence eller egen økonomi. Den del centraliseres og de 21 sundhedsfællesskaber fødes meget ulige. #dkpol #fv19
10862482,2019-04-27 10:24:14,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,"Tillykke til alle dem, der har inviteret ham til hyggesnak bl.a i tv-stuerne. Og tillykke til alle de rabiate idioter, bander mm der brændte biler og kastede med sten. Danmark har  fået endnu skinger stemmer, der endda er dømt for racisme, som man kan stemme på #dkpol #dkmedier"
11520070,2019-05-26 19:08:32,BennyEngelbrech,520266902,Benny Engelbrecht,The Social Democratic Party,,"Stemmeprocenten i Sønderborg til Europa-Parlamentsvalget er på hele 63,69 - det er værd at kippe med flaget over 🇩🇰 #dkpol"
11332457,2019-05-18 22:42:21,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,"Den kære kommentator hos DR er ret så forarget over, at Sverige og Island ikke har givet os nogen point!!! Altså slet ikke nogen 😊 #ESC2019"
10844774,2019-04-26 12:08:59,BennyEngelbrech,520266902,Benny Engelbrecht,The Social Democratic Party,,Når @spolitik holder pressemøde handler det om vores egen politik - for eksempel at vi vil hæve ambitionen for CO2-reduktion i EU i 2030 fra 40 pct. til 55 pct. #dkpol #dkgreen #EP19dk
11472951,2019-05-24 09:35:20,Heunicke,22695562,Magnus Heunicke,The Social Democratic Party,,Hvem skulle nu have troet det? Theresa May gav mig lige tårer i øjnene med den afslutning på hendes afskedstale. En dybt ulykkelig situation. Og en dyb mangel på ansvarlige politikere. Men den her afslutning på talen.. Den rørte mig.
11667863,2019-06-04 19:29:41,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,"Svært at tage Løkkes ønske om bredt samarbejde alvorligt, når han fx har valgt at lave stor reform af vores sundhedsvæsen med det smalleste flertal, han kunne. #dkpol #fv19"
11348170,2019-05-19 19:03:59,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,"Fakta lyver ikke!
Under SR-regeringen blev der brugt flere mia på velfærd i kommunerne, da vi gav magten videre end da vi overtog den. Det har @Kristian_Jensen bare ikke rigtig lyst til at forholde sig til #fv19 #dkpol"
10816088,2019-04-25 07:18:00,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,Ikke overraskende men ret så bekymrende når Tyrkiet altid har orienteret sig mod Vesten. Men tiderne er anderledes under Erdogan #Dkpol #dkmedier #Turkey
10705073,2019-04-17 20:15:04,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,"Wow! Så er feministbevægelsen Femen-Tyrkiet allerede i gang med at afslutte Erdogan-æren. Der står bl.a “tiden er til en Istanbul uden Akp. Tiden er til et Tyrkiet uden Erdogan på”
Bonusinfo: I gennemsnit dræbes 2 kvinder pr/dag i Erdogans Tyrkiet, kvinder har fået nok #dkmedier"
11456535,2019-05-23 18:08:06,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Vi har lavet udspil om børn, sundh, nærhed, centralisering, klima, udlændinge, skat, økonomi mv. V har holdt pressemøder om os, kopieret os, skældt ud og indrykket annoncer om os. Jeg savner en debat om mål, visioner. At V lige løfter blikket. Hvor skal vi hen, Løkke? #dkpol"
11299015,2019-05-17 14:33:05,mettereissmann,67062563,Mette Reissmann,The Social Democratic Party,,"Politiet har lige ringet og fortalt, at mine plakater på Grøndalsvej st i København er hevet ned og brændt😮😧🔥. De der laver den slags hærværk sku ha ordntlig voksen skældud a la Luksusfælde-style🤬#dkpol #hærværk og tvinges til at hænge nye op."
10542584,2019-04-07 15:56:09,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,Det her frygtede jeg. Akp har tabt Istanbul &amp; indset de ikke kan snyde sig til stemmer ved fintælling/omtælling. Forskellene er simpelthen for store. Nu gør de alt for at sabotere valget. EU har været på banen men det r tid til at tale med store bogstaver @anderssamuelsen #dkpol
10587938,2019-04-09 18:29:51,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,Det her er klasse! Tak til @CCordsen for at afsløre regeringens bluf og skræmmekampagne 🙌🏼 #dkpol #politikerlede #magtmisbrug @Spolitik #fv19
10753812,2019-04-21 13:00:30,YildizAkdogan,34717297,Yildiz Akdogan,The Social Democratic Party,,"Det bringer grimme minder frem til Sivas/Madimak hotellet i 1993, hvor 35 uskyldige musikere &amp;forfattere blev brændt levende fordi de tilhørte et sekulært religiøst mindretal, imens råbte rabiate “Gud er stor, brænd dem!” Formanden @kilicdarogluk er os alevi. Tilfældig? #dkpol"
11523641,2019-05-26 21:53:31,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"52,8% til rød blok ❤️❤️ Anyone? Hvornår har der sidst været rødt flertal til EP-valg? 1994, 1989? #valghjerne #dkpol"
11222215,2019-05-14 16:18:36,DanJoergensen,507425094,Dan Jørgensen,The Social Democratic Party,,"Hey @ErlingBonnesen du sagde forleden da vi var i radioen, at I støtter mere velfærd. Godt ☝️. Men støtter I så også vores forslag om en velfærdslov?"
11347797,2019-05-19 18:51:06,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,Lars Løkke er stolt over at han reelt har afskaffet efterlønnen - og så synes han ikke der er store politiske forskelle på @Spolitik og @venstredk ? #dkpol #fv19
11366935,2019-05-20 17:12:04,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,"Jeg synes godt nok @venstredk har en sær opfattelse af ‘helt almindelige danskere’. Siden hvornår falder banker, virksomheder eller de få, der tjener rigtigt mange penge på aktier, ind under den betegnelse? 🤔 #dkpol #fv19"
11084709,2019-05-08 12:26:58,mettereissmann,67062563,Mette Reissmann,The Social Democratic Party,,Det er bare ærgerligt at @larsloekke har sparet 9 mia på uddannelse med stor skadelig virkning. Panik før lukketid at afgive sådan et løfte? Hva m uddannelsesloftet? Ryger det i morgen? #dkpol
11662329,2019-06-04 15:08:13,DanJoergensen,507425094,Dan Jørgensen,The Social Democratic Party,,For en måned siden ville Løkke i regering med DF - siden har der været et par andre bud. Nu er han landet på de radikale. Alsidig er han i hvert fald. #dkpol #FV19
11189669,2019-05-13 09:29:26,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Mette F til velfærdsmedarbejdere: ‘Man kan godt holde til at have travlt ind imellem, men man kan ikke holde til at have travlt hele tiden.’ #dkpol #pressemøde #FTValg19"
11392082,2019-05-21 16:06:06,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Danmarks selvudnævnte statsmand, mine damer og herrer: “Mette Frederiksen er jo ved at vise sig, som det hun er: en venstresnoet socialdemokrat. Den lille dør, som jeg åbnede på klem, har hun smækket i, og det vil sige, at hun gør sig fuldt afhængig af venstrefløjen” #dkpol"
11032076,2019-05-06 07:01:33,mettereissmann,67062563,Mette Reissmann,The Social Democratic Party,,"Det er vildt, at @regeringDK vedbliver med at fifle med tallene. Helt ligesom 1. mio. grønne biler i virkeligheden var 1.000. Og sundhedsreformens tal var ”febertanker” ifl. en professor. #dkpol #talfusk"
11031450,2019-05-06 06:06:58,RabjergMadsen,2173972657,Chr Rabjerg Madsen,The Social Democratic Party,,I dag vil FN biodiversitetsrapport vise tilbagegang for arter og natur. Løsning er sammenhængende natur og urørt skov. @regeringDK har istedet aflyst naturmål og indsatsplaner for truede dyr. Og overskredet EU deadline for indberetning om status for Danmarks fredede natur #dkpol
11477205,2019-05-24 12:31:52,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,Nu er en fælles europæisk skat på højfrekvente finansielle transaktioner - hvis design ikke er afgjort og som i øvrigt er langt fra at blive virkeliggjort - blevet til en “skat på pensionsopsparing”. Skræmmekampagnen når nye højder. Sølle. #dkpol
11348854,2019-05-19 19:30:21,RabjergMadsen,2173972657,Chr Rabjerg Madsen,The Social Democratic Party,,Enig @DanmarksNatur . Det kan vi ik være tjent med. Derfor vil vi have mere vild natur ! #dkpol #dkgreen
10963957,2019-05-02 13:21:23,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Jeg kan godt forstå, at Kristian Thulesen-Dahl ikke ser glad ud og Morten Østergaard storsmiler til det pressemøde. Men det er da opløftende at vide, at De Radikale godt kam samarbejde med Dansk Folkeparti alligevel. #dkpol"
11347469,2019-05-19 18:40:18,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Mette F: ‘Vil du være med til at binde dig til reduktionsmålene, ja eller nej.’ Løkke: ‘Måske. Det kommer an på. Tjaa. Øhh.’ Så meget for Venstres forsøg på at være grønne. #ærgerligt #dkpol"
11347519,2019-05-19 18:41:53,Jens_Joel,266667139,Jens Joel,The Social Democratic Party,,Det viste sig så på @tv2 hvorfor Venstre hele dagen har lavet spin på @Spolitik krav om mindst 60% reduktion af klimagasser i 2030. @larsloekke sagde NEJ til at forpligte sig. Skidt for klimaet #dkpol #dkgreen #FTvalg19
11414482,2019-05-22 12:08:29,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Mette F: ‘Jeg oplever, at børn og unge er aldeles engagerede i verden omkring dem. Det lover godt for fremtiden.’ #duel #dkpol #FTvalg19"
11667741,2019-06-04 19:23:53,Jens_Joel,266667139,Jens Joel,The Social Democratic Party,,Nu roser @larsloekke den fælles energiaftale for energibesparelser på bygninger og tre havvindmølleparker. Eneste problemer at Løkke havde 0 indsats på første og 1 havvindmøllepark i sit eget udspil #dkpol #fv19
11289868,2019-05-17 07:54:31,RosenkrantzT,563220669,Rosenkrantz-Theil,The Social Democratic Party,,"Vi kan ikke lave alt med V. Eksempelvis ikke værdig tilbagetrækning, hvor V ikke vil give et rettighed, eller sundhedspolitik, hvor V vil centralisere. Men vi kan noget m de fleste partier. Også m Venstre. Derfor vil vi ikke være bundet af et enkelt parti. #dkpol"
10970907,2019-05-02 19:03:34,PHummelgaard,600462984,Peter Hummelgaard,The Social Democratic Party,,"Det @LotteRod mener er, at alle får ret til at SØGE om sin førtidspension. Det samme som onsdag. #serviceoplysning #dkpol"
11418414,2019-05-22 14:19:44,Astridkrag,61264905,Astrid Krag,The Social Democratic Party,,"Og dejligt med en debat om sundhed! Dog må man sige at Løkke ikke kan en brøkdel af det han peger på på sundhed, hvis han fastholder at hans økonomiske plan er den, der ligger på Finansministeriets hjemmeside. #dkpol #fv19"
