,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
28102847,2021-07-28 22:35:49,KLeikert,467381196,Katja Leikert,CDU,,"#Freiheit &amp; #Eigenverantwortung &amp; #Rücksicht WIR alle sind immer noch gefragt! Jetzt vor allem die #Reiserückkehrer - wer selbstständig und frei bucht ins Massentourismusgebiet, kann auch danach genauso sorgfältig alle Maßnahmen treffen, um andere nicht zu gefährden."
28286183,2021-08-09 06:14:23,MdbWendt,2430137675,Marian Wendt,CDU,,"Bei der #Hochwasserkatastrophe &amp; den Hilfen für ?? ? sieht man, dass NRW eine gute Struktur beim Bevölkerungsschutz hat. Föderalismus hat ja den Vorteil, dass wir vergleichen können. @ArminLaschet hat da sein Land im Vgl. sehr gut aufgestellt. Das macht er dann auch für ganz ??."
28651091,2021-08-29 19:10:21,Thomas_Bareiss,2797812265,Thomas Bareiß,CDU,,"Frau #Baerbock, ab 2026 ist der Einbau von #Ölheizungen nicht mehr zugelassen. Anscheinend ist Ihnen das noch nicht bekannt?! In dieser Legislaturperiode haben wir die Rekordsumme von fast 6 Mrd. Euro für Heizungs-  und Hausmodernisierung bereit gestellt. ? #Triell @ArminLaschet"
28759605,2021-09-04 10:53:31,jensspahn,299650387,Jens Spahn,CDU,,"65,7% (54,65 Mio) aller Bürgerinnen und Bürger in ?? sind mindestens einmal geimpft, 61,2% (50,9 Mio) haben einen vollen Impfschutz. Das ist gut - aber wir brauchen noch mindestens 5 Millionen Impfungen für einen sichereren Herbst und Winter."
28475709,2021-08-19 16:00:09,MatthiasHauer,1158585210,Matthias Hauer ????,CDU,,Von @AuswaertigesAmt kam der letzte #Landsleutebrief an die zu evakuierenden Deutschen in #Kabul gestern um 8:20 Uhr (dt. Zeit). Seitdem keine Informationen. Viele Deutsche (und natürlich auch Ortskräfte + andere) sind verzweifelt. Völliges kommunikatives Versagen. #Afghanistan
28851290,2021-09-09 08:03:12,jensspahn,299650387,Jens Spahn,CDU,,"Wir kommen aktuell leider nur langsam voran. 61,7% (51,3 Mio) haben in ?? den vollen Impfschutz. 66,2% (55 Mio) sind mindestens einmal geimpft. Zwar sind damit 72,4% der Erwachsenen geschützt, aber noch sind zu viele ungeimpft, um die Pandemie zu überwinden."
28548480,2021-08-24 07:17:08,jensspahn,299650387,Jens Spahn,CDU,,"53,4 Mio (64,2%) Bürgerinnen und Bürger in ?? sind mindestens einmal geimpft, 49,2 Mio (59,2%) haben vollen Impfschutz. Die vierte Welle baut sich weiter auf. Wie hoch und gefährlich sie wird, haben wir noch in der Hand: Jede zusätzliche Impfung hilft, die Welle abzuflachen."
29017701,2021-09-16 20:30:30,christophploss,928335737803722753,Christoph Ploß,CDU,,"„Es geht um die wichtigen programmatischen Fragen für unser Land: Erreichen wir die Klimaschutzziele mit Verboten, Gängelung und Bevormundung oder mit Sozialer Marktwirtschaft, Innovationen und mit neuen Technologien? Das will @ArminLaschet.“ (tp) #illner"
29052673,2021-09-18 16:42:53,meister_schafft,34214048,Dr. Michael Meister,CDU,,"Entscheidend ist doch der mangelnde Respekt vor dem Parlament, dem Deutschen Bundestag. Wie kann man Wahlkampf höherwertig sehen als Minister als dem Deutschen Bundestag gegenüber verantwortlich zu sein"
28093289,2021-07-28 14:02:20,UweSchummer,409203792,Uwe Schummer,CDU,,"Mit # Personen zu beleidigen ist übrigens kein Wahlkampf, sondern zeigt die inhaltliche Leere derer, die im Netz als Hater unterwegs sind. #BTW2021"
28505843,2021-08-21 11:40:09,jensspahn,299650387,Jens Spahn,CDU,,Klare Ansage von @Markus_Soeder. Die nächsten fünf Wochen gilt‘s. Wir werden Rot-Rot-Grün verhindern! #eineUnion
28128066,2021-07-30 10:44:36,ThomasHeilmann,56806603,Thomas Heilmann #NEUSTAAT,CDU,,"Lieber Illia, zu deinem Geburtstag heute Herzlichen Glückwunsch!Leider kannst du diesen nicht in #Freiheit und mit deiner Familie&amp;Freunden feiern. Deine Verhaftung war und ist Unrecht!
Alle politischen Gefangenen müssen unverzüglich freigelassen werden!?️
@viasna96 #WeStandBYyou"
28625488,2021-08-28 06:48:28,n_roettgen,1040160799208161280,Norbert Röttgen,CDU,,"#Afghanistan war bislang der mit Abstand größte Einsatz der Bundeswehr. Für das, was unsere Soldatinnen &amp; Soldaten für ?? leisten, verdienen sie Respekt &amp; den politischen Willen aller Parteien, sie dabei bestmöglich zu schützen! Es ist unsere Aufgabe, Ihnen den Rücken zu stärken."
28532946,2021-08-23 09:06:28,JoWadephul,389682667,Johann Wadephul,CDU,,.@dieLinke empfiehlt der @Linksfraktion ENTHALTUNG. Gleichzeitig kann man sich vor Rettungsaufforderungen aus deren Reihen kaum retten. Das ist keine Haltung. So ein Verhalten ist bigott! @cducsubt
28929690,2021-09-13 07:09:53,jensspahn,299650387,Jens Spahn,CDU,,"62,2% (51,7 Mio) haben vollen Impfschutz, 66,5% (55,3 Mio) sind mindestens einmal geimpft. Mit der Aktionswoche #HierWirdGeimpft wollen Bund und Länder bereits laufende und neue startende Impfaktionen sichtbarer machen. Für einen sichereren Herbst und Winter."
28954963,2021-09-14 10:46:03,JM_Luczak,22908417,Dr. Jan-Marco Luczak,CDU,,"2 Prozentpunkte Unterschied zwischen @CDU und SPD. Das liegt innerhalb der Bandbreite der statistischen Fehlertoleranz. Das Rennen ist offen, der Trend ist für uns. Also: kämpfen!?
@ArminLaschet @rbrinkhaus @PaulZiemiak"
28821367,2021-09-07 19:38:59,AWidmannMauz,3351905747,A.Widmann-Mauz,CDU,,"Hotels, Restaurants &amp; junge Menschen, die eine Ausbildung machen wollen, haben stark unter #Corona gelitten. Wir wollen den Ausbildungsmarkt wieder gemeinsam ankurbeln! Dafür habe ich heute Steffen Kampeter von @DieBDA &amp; Ingrid Hartges vom @DEHOGA_BV getroffen."
28458024,2021-08-18 17:00:39,wanderwitz,16361044,Marco Wanderwitz,CDU,,"Das diverse die Dinge die ich meine. Hass als Lebensform. So kann es nicht weitergehen, wenn wir eine gedeihliche Gesellschaft wollen. #Freiberg"
28831304,2021-09-08 10:55:32,meister_schafft,34214048,Dr. Michael Meister,CDU,,Hat der Vizekanzler vollkommen frei von Wahlkampf gesprochen? Ein Bundeskanzler ist doch kein politisches Neutrum!
