,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
21286669,2020-09-30 06:50:22,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,Jacinda so much stronger on keeping NZers safe - it’s what saved lives and got us to where we are today. Thank goodness it was Jacinda making the decisions and not someone else #LetsKeepMoving
21428835,2020-10-06 06:35:17,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,Leader of the opposition rattles of long-standing problems facing NZ. @jacindaardern responds that they are legacy issues. Someone in the audience is shouting the truth for all to hear: “9 years!”
21426068,2020-10-05 22:16:09,pauleaglenz,150514786,Paul Eagle MP ?,Labour Party,Rongotai,"Relentlessly proud to be with @tamaticoffey last night to launch our?policy:
?️‍?Ban conversion therapy.
?️‍?Better access, support &amp; treatment through our health system.
?️‍?More funding for mental health services. 
?️‍?More inclusive school &amp; work environments. #LetsKeepMoving"
21235983,2020-09-28 06:26:07,NanaiaMahuta,292220830,Nanaia Mahuta,Labour Party,Hauraki-Waikato,"“We made sure that we protected jobs and created jobs, unemployment figures have shown that our approach has worked” Adrian Rurauwhe Te Tai Hauāuru MP"
21235811,2020-09-28 06:10:35,NanaiaMahuta,292220830,Nanaia Mahuta,Labour Party,Hauraki-Waikato,On Two Ticks for Labour “We can maximise the voice for Māori when we have Labour Māori MPs sitting around the Government table” Adrian Rurauwhe Te Tai Hauāuru MP
20609335,2020-09-01 00:48:39,SpeakerTrevor,33394729,Trevor Mallard,Labour Party,List,The suggestion of self sterilisation does cause me to bring my knees together and sit back in my chair.
21287196,2020-09-30 07:11:20,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,Judith Collins claimed Labour has been selling state houses just like they did - wrong! National flogged off over 6000 houses last time in govt - we’ve sold 146 houses that not fit for purpose or not geographically suited to demand. We’ve been adding them - over 5.5k new places
21286881,2020-09-30 06:59:52,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,"Jacinda Ardern exactly right. We grow the economy by investing in people, not with reckless tax cuts we can’t afford."
21311089,2020-09-30 21:25:48,pauleaglenz,150514786,Paul Eagle MP ?,Labour Party,Rongotai,One thing I've constantly heard in the past few months - @jacindaardern and Labour are looking and thinking ahead. And we are. #LetsKeepMoving
21087147,2020-09-21 22:57:37,michaelwoodnz,184374575,Michael Wood,Labour Party,Mt Roskill,A good bugger and a good mate. Kieran has been doing the hard yards in Wairarapa for years now &amp; will work for every vote up until 17 October. The Ute itself must be worth about 500 votes.
21660101,2020-10-15 06:43:56,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,Two days out from the election and all we hear from National is misinformation and scaremongering. Jacinda is right to call this out for what it is - desperate and frankly sad. #leadersdebate
20561837,2020-08-29 04:20:00,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,Wonder why National’s spokesperson for workplace relations and safety hasn’t given his view on this policy announcement. Perhaps he knows this ‘dire news’ isn’t a vote winner?
21260465,2020-09-29 07:42:40,PeeniHenare,2582229654,Hon. Peeni Henare MP,Labour Party,Tāmaki Makaurau,I walked alongside my people during the time we presented the stage one evidence to the Tribunal on the matter of sovereignty. Ngāpuhi did not cede sovereignty. I Don’t recall seeing Billy TK Jnr at any of the hearings ?
21313146,2020-10-01 01:33:31,PeeniHenare,2582229654,Hon. Peeni Henare MP,Labour Party,Tāmaki Makaurau,.always good to see you brother! Some great Kaupapa convos #kaupapa #focussed #hauora #kicksalways #eaglesnation #birdgang #lol
20366696,2020-08-18 21:13:34,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"Husband starting to watch the morning news on the Dutch channel, complaining about the excess of opinions on one of our morning channels. I said it’s in the name - it’s a show - and to take it as such."
21483545,2020-10-07 20:25:33,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,There are plenty examples out there why criminalisation is unfair. I once represented someone who at 19 had a conviction as she owned the car someone had smoked cannabis in and left some in the ashtray. Years later she lost her job of 20 years for it.
20589059,2020-08-30 21:56:59,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"Great to see the reporting on people masking up when they go out. Everyone (12 years and older) from today on public transport &amp; planes, grabbing a taxi, will need to wear a face covering."
21115752,2020-09-22 23:40:27,michaelwoodnz,184374575,Michael Wood,Labour Party,Mt Roskill,"Still our greatest ever batsman in my books. Such a joy to watch &amp; a childhood hero to many of us. Later, his public reflections on what really matters in life as he faced terminal illness showed him as a thoughtful human being capable of reflection and change. Vale."
20974338,2020-09-17 00:14:31,PeeniHenare,2582229654,Hon. Peeni Henare MP,Labour Party,Tāmaki Makaurau,Asked again today what another fav whakatauki is. Here it is ‘he taonga te whakaiti’ = ‘humility is a gift’ ??
20972326,2020-09-16 21:30:53,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"If we have to go through a 1 in 100-year shock, I’m grateful we have @NZFinMin Grant Robertson leading the charge of the recovery of the economy. Our balanced 5-point plan is a pathway to lower debt and reduce the deficit while still providing the public services NZ needs #nzpol"
21028841,2020-09-19 05:50:29,pauleaglenz,150514786,Paul Eagle MP ?,Labour Party,Rongotai,We need more Amelias to attend these events and ask questions like this! Wonderful to have you attend @WgtnCC Councillor @TeriONeillNZ - thanks for the work you do and for your support ??? #RedTeam
21367292,2020-10-03 00:03:28,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,I have just voted at Mt Pleasant Community Centre.  Didn't need my easy vote card.  Good cos it hasn't arrived.  Still easy to vote!  4 ticks.  Done.  #Labour2020
20522210,2020-08-27 03:00:34,michaelwoodnz,184374575,Michael Wood,Labour Party,Mt Roskill,"With the sentencing of the terrorist today, all of our focus should now be on the lives of the victims, the heroism of the survivors, the grace and resilience of the NZ Muslim community, &amp; a shared commitment to true inclusion for people of every faith &amp; culture who call NZ home,"
21197376,2020-09-26 03:08:19,clarecurranmp,29406343,Clare Curran,Labour Party,Dunedin South,I've been noticing heaps of tweets lately by @ParityBOT_NZ in my feed so there must be lots of hate tweets towards women candidates happening in the twittersphere
21659715,2020-10-15 06:20:04,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,"Under Labour, first home buyers are the largest share of the market on record. We’re making progress #letskeepmoving #leadersdebate"
21428676,2020-10-06 06:24:48,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"“Stuff calculated there is in fact an $8 billion hole in the National’s budget”. JC: “no there isn’t, I’ll show you the information from... uhm, ...”. Enough said."
20832470,2020-09-10 22:29:07,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,Try to out the bridge of your glasses over the nose piece on your mask.  Works a treat!  #nofoggyglassescovidtip
20704296,2020-09-05 08:56:42,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,Looks like rugby was the winner.  And us.   @grantrobertson1 @SpeakerTrevor #NorthvsSouth Great game!!
21235936,2020-09-28 06:21:03,NanaiaMahuta,292220830,Nanaia Mahuta,Labour Party,Hauraki-Waikato,"Top 3 Issues for Te Tai Hauāuru;
Housing, Leaders and Covid-19 - that looks like whānau want clear stable leadership to get through these unprecedented times."
21028391,2020-09-19 03:30:12,KiriAllan,557530121,Kiri Allan,Labour Party,List,"Ok, this has turned on its head. East Coast lead 24 v 19 5min into the second half. Right folk, we have a seriously epic game here on our hands!"
21047405,2020-09-20 01:51:51,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"Catching up on emails and just found one from an organisation calling itself the Taxpayers' Union. Looking at their latest news release, they're advocating for an extension of the 90-day trial period to a 15-month trial period. They don't know union values and aren't one."
21047465,2020-09-20 02:16:16,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"“If National can’t even do the basics required on their own policy costings, they cannot be trusted to run the country. Making mistakes like this have real world consequences that New Zealand does not need in this challenging time in our history.”"
21659729,2020-10-15 06:21:28,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,On housing the record is clear - National did nothing for nine years and wants to go back to doing nothing. We can’t take that risk. #leadersdebate
20891517,2020-09-13 21:16:11,DavidClarkNZ,322976025,David Clark,Labour Party,Dunedin North,Congratulations Mikayla and team. This is awesome. Great to see kiwi talent leading the way in the young rider category at the Giro - one of the world’s most challenging and prestigious bike races #worldclass #GiroRosa2020
21286995,2020-09-30 07:04:12,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"National not fit to manage the economy in challenging times. Can’t get the basics right, can’t be trusted to run the economy."
21383696,2020-10-03 20:42:01,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"Question to Goldsmith: “Judith Collins said house prices should come down in some areas. Where would that be ?” Goldsmith: “Jack, you’re being silly”. @NZQandA"
21313315,2020-10-01 02:31:43,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,"Excellent!  My favourite ever air crew is Adrian who does his welcome in Te Reo, English and then NZ Sign Language.  Always warmed my spirit. #FlyAirNZ #tereo #NZSL"
20522336,2020-08-27 03:45:18,clarecurranmp,29406343,Clare Curran,Labour Party,Dunedin South,"Kia kaha to everyone in NZ today, as we hear that justice is served, following the horror &amp; tragedy of 15 March 2019. May all who survived, their families &amp; friends &amp; of those who died feel the aroha &amp; warmth of NZers today &amp; always"
21366964,2020-10-02 23:07:43,pauleaglenz,150514786,Paul Eagle MP ?,Labour Party,Rongotai,"Voting has begun! Find a polling place at the link below. ?? Take your Easy Vote Card but if you don’t have it then don’t worry, you can still vote! Not enrolled? You can do that right up to and including 17 October."
21251226,2020-09-28 17:55:16,KiriAllan,557530121,Kiri Allan,Labour Party,List,"Awesome to see @michaelwoodnz, my supremely talented and values driven colleague in his hometown electorate of Mt Roskill yesterday before the Young Voters debate on TVNZ. Let’s just say the Roskill wind ‘filled my sails’ ? ? ?"
20701373,2020-09-05 00:13:54,JennySalesa,2401210076,Jenny Salesa,Labour Party,Manukau East,We mourn the tremendous loss of one of our Pacific leaders today and our hearts are heavy with grief. Deepest condolences to the Williams family.  We will really miss our Ariki and former PM of the Cook Islands Dr Joe Williams. ‘Ofa lahi atu ??❤️??❤️??
21456525,2020-10-07 01:46:23,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"“Her round of media interviews early in the day had focused on a leaked email, a dubious display of indignation about Samoa, the un-staged photo of her praying in a church and why she hadn't provided her caucus with polling figures.” But it got worse from there..."
20752377,2020-09-08 00:34:49,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"Small businesses are at the centre of Labour’s plan for economic recovery. Just announced, a raft of further measures to support SMEs to respond, recover and rebuild from the global impact of COVID-19. @Stuart_NashMP #LetsKeepMoving"
20777191,2020-09-08 23:33:04,MarjaLubeck,844462713698963458,Marja Lubeck,Labour Party,List,"“Our plan strikes a balance as we recover from COVID-19. It will avoid the cuts to services being suggested by the National Party, and also help keep a lid on debt as we support the economic recovery from a 1-in-100 year shock.”"
21426112,2020-10-05 22:19:44,Stuart_NashMP,3036870865,Stuart Nash,Labour Party,Napier,"Organised crime networks have international traffickers pulling the strings. This Australian drug smuggler has earned himself a 14year+ jail sentence. 
Police and Customs officers are going hard against meth from overseas and gangs behind meth labs in NZ."
21544304,2020-10-10 09:00:57,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,"Yes.  To be honest I have never seen such a vile, fundamentalist and dishonest policy response in NZ politics as what we are seeing now from @NZNationalParty It doesn't look good for their future."
21428876,2020-10-06 06:37:58,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,Judith Collins trying to duck responsibility for National’s legacy of underfunding the CDHB and the dysfunctional relationship between their government and the CDHB - crowd not buying it #Leadersdebate
21428646,2020-10-06 06:23:11,Megan_Woods,23852569,Megan Woods,Labour Party,Wigram,Biggest laugh of the night is Jacinda pointing out the absurdity of putting Gerry in charge of the border - Cantabrians know how CERA went...... #leadersdebate
20731826,2020-09-07 01:19:40,SpeakerTrevor,33394729,Trevor Mallard,Labour Party,List,What responsibility does @TVNZ and @NZQandA take for their spreading of misinformation. #COVIDー19 is serious and the conspiracy theorists are bad enough without a major news outlet using someone like Thornley. @jacktame look at this thread  you should fact check before broadcast
21348102,2020-10-02 09:26:35,clarecurranmp,29406343,Clare Curran,Labour Party,Dunedin South,Saw #Savage last night. Powerful. Emotional. Disturbing. Utterly sad and an indictment on our child protection systems. Thank you Sam Kelly @MadmanFilms
20706991,2020-09-05 11:38:31,clarecurranmp,29406343,Clare Curran,Labour Party,Dunedin South,Have just read all the responses. Am really impressed with @henrycooke 's willingness to engage. I hope people respect that
21145864,2020-09-24 00:52:53,SpeakerTrevor,33394729,Trevor Mallard,Labour Party,List,Another in a great series from @Iainmcgregor3 @avancenz modern format brilliant pictures informative read. @SportNZ @HPSportNZ @kenlaban @sumostevenson can you guys retweet to help understanding of the amazing sacrifices our elite athletes make.
21367839,2020-10-03 04:31:23,joluxx,2374797956,Jo Luxton,Labour Party,List,I headed out to the Temuka Market today too where I met Luke. He makes roses out of pinecones &amp;It takes him two days to make one rose ? and he is saving to buy a house ? one day! I was pretty happy to buy a few and contribute to his house fund! What a great entrepreneur!
20445372,2020-08-23 06:28:31,ruthdysonmp,103494259,Ruth Dyson,Labour Party,Port Hills,"It's amazing how much our beautiful beach has changed over the last few years.  Amazing king ride!  And yes, greatest place in the world to live for sure!!"
21403795,2020-10-05 05:37:52,grantrobertson1,24149001,Grant Robertson,Labour Party,Wellington Central,Devastating and reckless. Really feel for staff and volunteers.  Lets all show our support for this Wellington treasure
21367803,2020-10-03 04:04:38,AupitoWSio_MP,26209461,"Aupito William Sio, MP",Labour Party,Māngere,Sorry @fury12. I'm voting Labour. Labour has a strong Maori Caucus who work hard for all Maori and has secured unprecedented funding for targetted Maori support in last 3 years.
20680605,2020-09-04 02:47:08,KiriAllan,557530121,Kiri Allan,Labour Party,List,"Haha, my nieces are home. Glad to see they are keeping their father well entertained in quarantine. ? ? ? Kia kaha e @TaikaWaititi!"
