,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
18840229,2020-06-10 13:32:30,GoTracz,3308133795,Małgorzata Tracz,Civic Coalition,,"Na terenach podmokłych #Wrocław przy Ślęzy i L. Kuźnickim powstaje osiedle. 

@pawelpomian: ""Jest to niezgodne z polityką klimatyczną. Dziś powinniśmy rozmawiać jak takie tereny objąć większą troską, jak chronić ich bioróżnorodność i gatunki zwierząt chronionych, które tam żyją."""
19032958,2020-06-17 19:57:12,OlekMiszalski,121373807,Aleksander Miszalski,Civic Coalition,,"Póki co to dolary i euro przyciąga jedynie Poseł Horała i jego koledzy z zarządu i rady nadzorczej spółki #CPK.
Czas z tym skończyć, #MamyDość!
#Trzaskowski2020 skończy z pisowską ojczyzną dojną.
#WyboryPrezydenckie #SilnyPrezydent"
18339275,2020-05-21 09:44:01,ikatarasinska,881775738,Iwona Śledzińska-Katarasińska,Civic Coalition,,Trwa posiedzenie senackiej komisji kultury-temat: co się zdarzyło w radiowej „Trójce”. Szczerze mówiąc głosy pani prezes radia i dyrektora „Trójki” wprawiły mnie w osłupienie. Chyba postawiono ich na te stanowiska w stanie pomroczności jasnej.PiS znów „mniej niż zero”.
18797152,2020-06-08 20:44:05,gapinska_e,3254690307,Elżbieta Gapińska,Civic Coalition,,Na Mazowszu i w Warszawie zebrano ( dotąd ) 323000 podpisów dla @trzaskowski_ Zobaczymy ile jutro będzie z Polski. Myślę ?o świetnym wyniku!!!Sami  zobaczycie.
19381285,2020-07-01 15:16:33,czeslawmroczek,1159574572708110336,Czesław Mroczek,Civic Coalition,,"Niezależne media to filar demokratycznego i obywatelskiego państwa. Andrzej Duda uderzając w media chce uciec od odpowiedzialności za swoje skandaliczne decyzje. Jednocześnie dobitnie pokazuje, że nie ma kwalifikacji do pełnienia niezwykle odpowiedzialnej funkcji prezydenta."
18101673,2020-05-12 10:22:41,MichalSzczerba,58919878,Michał Szczerba,Civic Coalition,,"Czy pan Andrzej dziś zarapowal dla pielęgniarek, a pani Agatka zrobiła maseczkę z ręcznika kuchennego? #2miliardy #hipokryciPiS"
18897931,2020-06-12 18:28:13,sibinska,182335514,Krystyna Sibińska,Civic Coalition,,"Hej, mieszkańcy powiatu krośnieńskiego; możecie mieć piękny baner, z gratisowym montażem
#TrzaskamyBanery #Trzaskowski2020"
18470071,2020-05-26 19:43:44,KLubnauer,2279602543,Katarzyna Lubnauer,Civic Coalition,,"Minister Sasin zdecydował o wydatkowaniu 68 000 000 zł bez podstawy prawnej na wybory, które się nie odbyły.

A PIS, jedyne, co ma nam do powiedzenia, to że nic się nie stało,  bo winna jest i tak opozycja.

?"
19130645,2020-06-21 17:36:00,gapinska_e,3254690307,Elżbieta Gapińska,Civic Coalition,,"Inteligentny, zna kilka języków, empatyczny, dobry mąż i ojciec, sympatyczny kolega.Kompetentny, zaangażowany, łączy, a nie dzieli ludzi.Przestrzega zasad, Konstytucji, prawa.Dba o wykluczonych, najsłabszych, wspiera prawa kobiet i osób z niepełnosprawnościami.#Trzaskowski2020"
19270043,2020-06-26 21:00:17,MJanyska,2724920673,Maria Janyska,Civic Coalition,,"Ostatnia godzina do ciszy wyborczej i ostatni przystanek #Trzaskowski2020 i wielka prośba o mobilizację, pójście na wybory. @trzaskowski_ dziękuje wszystkim za wsparcie i pozdrawia konkurentów?✌️??"
19232808,2020-06-25 15:14:22,DariuszRosati,1249486668,Dariusz Rosati,Civic Coalition,,"Mówił jeszcze o Kościuszce. 
Ale nie zapytał Trumpa dlaczego USA nakładają dodatkowe cła na import z UE, w tym z Polski."
