,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
13356300,2019-09-18 23:47:17,MoroMjesus,2365318187,mjesus moro almaraz,PP,Castilla y León,"En el siglo de la transparencia, es necesario conocer a fondo la verdad y el CGPJ ha de ocuparse, preocuparse, resolver e informar.  ¿Instrucción sin plazos? Cada noticia de las últimas 24 horas nos da la razón."
13547672,2019-09-28 11:29:49,Rafa_Hernando,380456440,Rafael Hernando,PP,Andalucía,"-Elecciones 15: Sánchez se instala en el “no es no” bloquea el Congreso y nos lleva a elecciones

-16: sólo se puede hacer Gobierno cuando el PSOE lo echa. Vuelve con la Moción de censura y al rato disuelve
 
-Abril 19: no acepta el resultado y otra vez urnas

¡Échalo,es TÓXICO!"
14025015,2019-10-22 20:26:56,BelenHoyo,239779545,Belén Hoyo Juliá,PP,Comunitat Valenciana,"Enhorabuena a todos aquellos que han contribuido a fortalecer el tejido empresarial valenciano, a crear empleo y a generar riqueza entre los valencianos. #PremiosFAES2019"
13437160,2019-09-23 10:23:00,rosaromerocr,253968932,Rosa Romero,PP,Castilla - La Mancha,Los @populares sin duda estamos  #contralatrata. #diainternacionalcontralaexplotacionsexualylatrata #23S
13976039,2019-10-20 07:36:50,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,Que vergüenza de Televisión de #Sánchez !!Las piedras las tiran a los Policías no se caen!! Que asco !! @TvPlataforma
13594809,2019-10-01 09:17:43,Rafa_Hernando,380456440,Rafael Hernando,PP,Andalucía,"El lema de campaña de ZPEDRO , ósea @sanchezcastejon  es clarividente: “Ahora Gobierno, Ahora España”. 

Es decir, antes España no.

¿Y después? ¡TAMPOCO!

Sánchez el inestable."
13360650,2019-09-19 08:13:48,juanviperezaras,1187155471,Juan Vte. Perez Aras,PP,Comunitat Valenciana,"Trabajando para unir, unir para ganar, ganar para gobernar. Un nuevo impulso para @popularsval que @populares necesitan para seguir construyendo juntos los distintos, porque #NosUneEspaña a partir del minuto 13:40"
13232725,2019-09-12 12:53:02,DolorsMM,283559538,Dolors Montserrat,PP,Cataluña,"Contáis con todo mi apoyo.

Los éxitos de @edsnet serán los éxitos de todos los jóvenes estudiantes europeos."
13849960,2019-10-14 07:56:05,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,"Ahora sólo pedimos que #SÁNCHEZ no les indulte y triunfe el Estado de Derecho:
Junqueras 13 años
Romeva 12 años
Turull 12 años
Bassa 12 años
Forcadell 11’5 años
Forn 10’5 años
Rull 10’5 años
Cuixart 9 años
Sánchez 9 años

#SentenciaProces"
14075716,2019-10-25 12:21:00,zoidoJI,169843986,Juan Ignacio Zoido,PP,Andalucía,"Un 25 de octubre, ETA asesinó en San Sebastián al general de Brigada Rafael Garrido, a su mujer Daniela Velasco y a su hijo Daniel, en Durango al chapista Epifanio Benito Díaz y falleció en Bilbao el @policia José Benito Díaz, herido en un atentado doce días antes. #memoria"
13637854,2019-10-03 08:38:18,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,Sigue y suma los apuñalamientos en Barcelona!!...Y Marlaska y Colau sin hacer nada...Cambiándose las carteras de bolsillo!
13534982,2019-09-27 15:58:26,Miguel_Viso,4349709262,Miguel Ángel Viso,PP,Galicia,Interesante gráfico sobre la evolución de la producción de vino en el mundo (en % sobre el total) vía @winestats
13614786,2019-10-02 08:01:26,CarolinaEspanaR,700630213462401024,Carolina España,PP,Andalucía,"Datos de empleo en Septiembre: en 2017, con @populares se crearon más de 26.000 empleos; ahora, solo 3.224 empleos... la peor cifra desde el 2013. Llega el @PSOE y el empleo cae drásticamente. Y el paro subiendo... @GPPopular @PPMalaga @ppandaluz"
13524061,2019-09-27 06:44:26,jordiroca,14966033,Jordi Roca,PP,Cataluña,"El cántico del ""Pim, pam, pum"" no es nuevo en #Cataluña. Como mucho podemos decir que se ha contagiado de #Tractoria a #Tabarnia.

Tampoco sería nuevo algún nacionalista pidiendo que atenten en el resto de #España 🇪🇸 

Nihil novo sub sole."
14132326,2019-10-29 09:58:44,BelenHoyo,239779545,Belén Hoyo Juliá,PP,Comunitat Valenciana,"Para afrontar los retos, pido la confianza en @populares: tenemos el mejor conductor, @pablocasado_, los mejores copilotos y el mejor plan de viaje para llevar a España al mejor destino de crecimiento, estabilidad y oportunidades. #DebateEnLaSer"
13347683,2019-09-18 15:28:03,CarolinaEspanaR,700630213462401024,Carolina España,PP,Andalucía,Enhorabuena a @lorenzoamor_ata  y Javier Gonzàlez de Lara por su nombramiento en la CEOE. Su valía y su labor se notarán para bien.Andalucía y Málaga tienen un nuevo e importante peso en la patronal española. Un abrazo a los dos. 🇪🇸💃🥰@GPPopular @PPMalaga @CEOE_ES @autonomosata
13825660,2019-10-12 16:24:37,zoidoJI,169843986,Juan Ignacio Zoido,PP,Andalucía,La colaboración ciudadana ha sido determinante para encontrarlo. Muchas gracias a todos por la difusión y la ayuda.
13543090,2019-09-28 06:09:24,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,"Ayer vi el reportaje @laSextaTV y lo que me dio pena es q sale un funcionario con el rostro oculto,dice x miedo a las represalias desde el Ministerio y no a los presos.
Claro ejemplo de la #mordaza a la q somete  #Marlaska a los #funcionariosdeprisiones @tu_abandono"
13837319,2019-10-13 13:07:49,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,Si son capaces de organizar un campeonato de tiro la @policia y la @guardiacivil juntos....xq no deja #Marlaska que los Policías en La Rioja puedan usar la galería de tiro de la @guardiacivil como piden los sindicatos policiales??? @cucagamarra @LaRiojaPP
14028712,2019-10-23 05:17:09,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,"Ayer hicimos todo lo posible para que firmaran la declaración de apoyo a la Policía,Guardia Civil y Mossos el PSOE después de decir q NO logramos q la apoyase en el último momento,pero Podemos se alió con los nacionalistas y no hubo manera que apoyase a la Policía!👮‍♀️💙"
13578794,2019-09-30 12:47:13,anamadrazo61,375614100,Ana Madrazo Diaz,PP,Cantabria,"No todos somos iguales . En el #PP hacemos lo que decimos y la mejor prueba es que lo hemos hecho en las CCAA en las que hemos gobernado , sin ir más lejos en #Cantabria"
13302214,2019-09-16 13:25:49,jaimedeolano,1637483929,Jaime de Olano,PP,Galicia,"Sobrecogido ante las noticias que llegan desde Valga. Mis condolencias a la familia y amigos de la asesinadas. 
#BastaYa"
13278382,2019-09-14 20:59:54,joaquintorrevie,382328551,joaquin Albaladejo,PP,Comunitat Valenciana,"Gracias President por tu presencia en la Vega Baja en este durísimo momento. Siempre de lo malo, surge algo bueno: has podido comprobar  de primera mano, que aquí nadie habla en valenciano. Por favor, actúa en consecuencia."
13181375,2019-09-10 08:22:41,jordiroca,14966033,Jordi Roca,PP,Cataluña,"Inteligencia, buenos modos, sarcasmo…

Por eso el #nacionalismo se revuelve con tuits paletos cargados de 5 intentos de insulto.

Diputada por #Barcelona, @cayetanaAT"
13381589,2019-09-20 06:23:05,joaquintorrevie,382328551,joaquin Albaladejo,PP,Comunitat Valenciana,Esto de @PilarGGranja es real como la vida misma. Pero no trasciende. Esa maldita doble vara de medir ......
14331372,2019-11-09 22:00:57,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,Que mal deben de estar los cálculos en el PSOE para que este pájaro También se salte la jornada de reflexión!! ...Pero que mal...a la mañana SÁNCHEZ y ahora este!!
13179040,2019-09-10 05:52:20,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,Los barones del PSOE se unen al PP para q #Sanchez pague sus deudas Menos en Galicia q su lacayo @G_Caballero_M y su servil delegado  del Gobierno @conJavierLosada prefieren el peloteo a Sánchez q defender los servicios y el dinero de los gallegos!!
14330714,2019-11-09 21:00:28,pablocasado_,523386042,Pablo Casado Blanco,PP,Castilla y León,"Siento muchísimo el repentino fallecimiento de mi compañera Peligros Nicolás, alcaldesa de Puente Tocinos, Murcia, con quien tuve oportunidad de almorzar recientemente. Todo mi cariño, mucho ánimo y un fuerte abrazo a su familia y al @PPRMurcia."
13491154,2019-09-25 17:16:58,Rafa_Hernando,380456440,Rafael Hernando,PP,Andalucía,"Aquí en España, los medios indignados, y con razón, porque Boris Johnson cerró el Parlamento británico, y contenta con la Juez q le obliga a reabrirlo

Mientras, @sanchezcastejon ha bloqueado Congreso y Senado meses sin q nadie se alterara

En el SENADO un Pleno en 9 meses 😳"
13294816,2019-09-16 05:18:54,anadebande,397867366,Ana Vázquez Blanco,PP,Galicia,"El Rey propone y Sánchez dispone!
Y desde el minuto 1 dispone repetir elecciones para mejorar resultado!"
13892569,2019-10-16 07:47:09,TeoGarciaEgea,224074203,Teodoro García Egea,PP,Murcia (Región de),"Las imágenes de estos días evidencian el fracaso del PSOE y de los pactos a los que ha llegado. No se pueden condenar los disturbios en Cataluña y mantener acuerdos con aquellos que los alientan, protegen e impulsan.

🎙 @MasDeUno"
13984368,2019-10-20 18:59:56,pablocasado_,523386042,Pablo Casado Blanco,PP,Castilla y León,"El PP encontró las pensiones quebradas o congeladas, con el voto de Sánchez, y una crisis que destruía 1500 empleos diarios. Con el PP se creaban cada día 2500 empleos, revalorizamos las pensiones 16% de media, dejamos aprobada la subida 1,6% las medias, 3% mínimas y 7% viudedad."
