,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
6269831,2018-08-29 07:24:43,eriktaby,2466809932,Erik Andersson,Mod,,Nu lockar S med sockrade löften som du får betala! En barnfamilj har i genomsnitt fått ökade skatter med 12.000 per år med S regeringen. Satsa pengarna istället på fler poliser och ett rättskedja som fungerar från domstolar till kriminalvård.
6429582,2018-09-07 19:38:50,StenBergheden,2436452542,Sten Bergheden,Mod,,Högre skatter -ger sämre konkurrenskraft- ger färre svenska jobb- ökar arbetslösheten- ger mindre skatteintäkter.  Regeringens politik hotar jobb o företag o vår välfärd. #duellen #svpol #Dinröst
5912895,2018-07-31 18:59:05,JohanForssell,154050557,Johan Forssell,Mod,,Vi moderater står för en långsiktig migrationspolitik med ett skärpt försörjningskrav vid anhöriginvandring. Skriver med @TobiasBillstrom om ny moderat policy.
6169721,2018-08-21 18:43:56,M_Abrahamsson,73100393,Maria Abrahamsson,Mod,,Som sagt. Nu får vi lägga band på oss och inte dumma oss mer mot Stefan Löfven. Då vinner han på sympati. @svt #dinröst
6449756,2018-09-08 20:17:22,jorgenwarborn,19085332,Jörgen Warborn,Mod,,Om man vunnit alla debatter - blir man inte statsminister automatiskt då...? Frågar åt en vän. #teamulf
6311376,2018-08-31 19:05:25,Ericson_ubbhult,393890670,Jan Ericson,Mod,,"Summering: Löfven har höjt skatterna och samtidigt har välfärden blivit sämre. I högkonjunktur. Trots löften om motsatsen före förra valet.

Då är det dags att byta regering."
6202653,2018-08-24 05:02:00,JohanForssell,154050557,Johan Forssell,Mod,,"Sverige har alltså redan lägst tillväxt per person av EU:s samtliga 28 medlemsstater. Klokt av regeringen att då lägga fram skattehöjningar i mångmiljardklassen på arbete, investeringar och sparande?"
6295369,2018-08-30 18:29:10,hansrothenberg,139127908,Hans Rothenberg,Mod,,"Anonyma troll och kommentarer med fejkade namn går alltid bort på mina tweets. Så även ikväll.
#dinröst #svpol #valet2018 #val2018 #teamulf"
6295248,2018-08-30 18:22:03,Rosencrantz_J,552630315,Jessica Rosencrantz,Mod,,Moderaterna prioriterar åtgärder som ger effekt på klimatet och lägre utsläpp på riktigt. Många av regeringens ”satsningar” går till åtgärder med begränsad effekt eller som hade gjorts även utan statliga pengar.
6162564,2018-08-21 09:22:50,AnnickaEngblom,21129331,Annicka Engblom,Mod,,Kl:1130 håller Blekinge flygflottilj presskonferens med anledning av morgonens JAS Gripen-olycka. Enligt uppgift mår piloten bra efter omständigheterna. Det absolut viktigaste beskedet! #blepol #föpol
6447967,2018-09-08 18:30:18,lenaasplund,141917431,Lena Asplund,Mod,,"Pratade med några poliser idag och de var bekymrade. I kväll två bilar i Härnösand, Kramfors och Sollefteå tillsammans. Polisutbildning i Umeå fyller inte sina platser! Stoppa inte huvudet i sanden Löfven!
#tv4duellen"
6326987,2018-09-02 06:18:09,JohanForssell,154050557,Johan Forssell,Mod,,Utmärkt tillfälle för Hultqvist att en gång för alla reda ut de obesvarade frågorna om pressekreterarens sidoverksamhet och avgångsvederlaget.
6295554,2018-08-30 18:41:32,eriktaby,2466809932,Erik Andersson,Mod,,Bra och tydligt ikväll av Ulf. Det bästa för Sverige vore om han blir statsminister men då gäller det att man röstar M.
6029539,2018-08-09 22:44:23,lenaasplund,141917431,Lena Asplund,Mod,,"Om alliansen har varit emot regerings förslag måste regeringen +V  ha SD med sig för att få igenom förslagen.
Vad jag minns har SD aldrig röstar avstå i en viktig huvudvotering! #svpol"
6414402,2018-09-07 05:29:15,anetteakesson,22291443,Anette Åkesson,Mod,,Orsaken till problemen i svensk sjukvård är INTE för lite resurser - mer pengar löser dem inte #svpol
6117917,2018-08-17 11:11:38,JohanForssell,154050557,Johan Forssell,Mod,,Många känner inte till dagens regelverk. Arbete och egen försörjning ger permanent uppehållstillstånd. Viktigt med starka incitament till egna ansträngningar.
6018675,2018-08-09 08:05:20,HultbergJohan,587216713,Johan Hultberg,Mod,,Läser i @Smalandsposten att det den 30/7 fanns 87 tomma stolar i kommunfullmäktigeförsamlingarna runt om i Sverige. 80 tillhörde SD. Sedan tillkommer alla vildar. I riksdagen finns nu 8 vildar. Sju sitter på SD-mandat.Att rösta på SD är verkligen att köpa grisen i säcken. #svpol
6098259,2018-08-15 16:44:59,eriktaby,2466809932,Erik Andersson,Mod,,"Hur kan det vara möjligt, ett rejält bakslag för jämställdheten. Det är chefen som borde få en ursäkt. I Sverige behandlar vi alla lika."
