,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
4499266,2018-05-08 22:11:43,alicumhurtaskin,446278280,Ali Cumhur Taşkın,AK Parti,MERSİN,Aralarında Tarsus Üniversitesinin de bulunduğu 20 yeni üniversite kurulmasını öngören Tasarıyı TBMM Genel Kurulunda kabul ettik. Tarsus umuza  Hayırlı uğurlu olsun.
4965660,2018-06-02 16:57:19,DrSuatOnal,417708633,Suat Önal,AK Parti,OSMANİYE,Osmaniye Merkezde İlim Yayma Cemiyetini ziyaret ettik. Milli ve Manevi değerlere bağlı bir nesil yetiştirmek için yıllardır büyük gayret sarfeden Ilim Yayma Cemiyeti yöneticilerimize şükranlarımızı sunuyoruz.
5281376,2018-06-22 07:00:53,ramazancan0071,3232864769,Ramazan CAN,AK Parti,KIRIKKALE,"Kırıkkale Adliyesi'nden Hacı Ahmet İleli'iın kızının düğününe katılarak, gençlerin nikah şahitliğini yaptık. Her iki aileye de hayırlı olsun. Genç çiftleri tebrik ediyor, mutluluklar diliyorum."
5113564,2018-06-10 00:12:24,cemil_yaman,256512810,Cemil Yaman,AK Parti,KOCAELİ,"AK Parti Dilovası İlçe Başkanımız Osman Akbulut,il ve ilçe yöneticilerimiz ile Tavşancıl sahilinde güzel havanın tadını çıkaran vatandaşlarımızı ziyaret ettik.#VakitRTEvakti #VakitAKPARTİvakti"
4366557,2018-05-01 13:35:44,GalipEnsarioglu,596446392,Galip Ensarioğlu,AK Parti,DİYARBAKIR,Ülkemizde ve tüm dünyada emekleri ile üreten ve insanlığa güç katan tüm işçilerin 1 Mayıs Emek ve Dayanışma Günü'nü tebrik ediyorum.
4954675,2018-06-01 23:49:16,makif_yilmaz,3037304259,Mehmet Akif YILMAZ,AK Parti,KOCAELİ,"BAŞARILAR DİLİYORUM
Bugün yapılacak LGS’de (Liseye Geçiş Sınavı) sınava girecek tüm öğrencilerimize başarılar diliyorum. Allah zihin açıklığı versin."
4726908,2018-05-21 14:39:32,mkulunk,1321952677,Metin KÜLÜNK,AK Parti,İSTANBUL,"1. Şimdi Türkiye vaktidir. Yükselen ve yükseldikçe mücadelesinde sebat eden millet ve lideri Recep Tayyip Erdoğan ile yeni bir döneme merhaba diyeceğiz. Her alanda gelişmeye, geliştirmeye, çalışmaya ve gayret etmeye azmetmiş milletimiz ile Türkiye'mizi şahlandırma vaktidir."
4559290,2018-05-12 07:45:44,ahmet_iyimaya,3228821009,AHMET İYİMAYA,AK Parti,ANKARA,"#Sandık ,sosyal medya gürültüsüne  papuç bırakmaz!Sandık,#SîneiMillettir .Şunun şurasında birkaç gün kaldı.Bilge sandığın hükmü hepimizi bağlar!Elbetteki #Türkiye üzerinde iştahı ve hesabı olan emperyalistleri de(!).Haydi hayırlısı. #24Haziran #24haziransecimleri #24Haziran2018"
4438169,2018-05-05 09:49:31,leylasahinusta,3025338878,Dr. Leyla ŞAHİN USTA,AK Parti,KONYA,"Sn. Başbakanımız: Türkiye'nin dağ gibi sorunlarını dağ gibi hizmetlere dönüştürdük. Darbecilere, kumpasçılara, vesayetçilere fırsat vermedik."
4882053,2018-05-29 19:09:41,Akresitpolat79,1899433327,Reşit POLAT,AK Parti,KİLİS,"Erdem, irade ve cesaretle Türkiye şahlanacak.                                                #VakitTürkiyeVakti"
