,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
14003898,2019-10-21 21:16:48,DavidLammy,18020612,David Lammy,Labour,,"If Boris Johnson thought his withdrawal deal was good he would allow MPs time to scrutinize it.

If Boris Johnson thought his withdrawal deal was good he would give the public a confirmatory vote.

The reason he will do neither is because he knows it is a disaster."
14461176,2019-11-17 13:58:50,spellar,21736214,john spellar,Labour,,"A great turnout and a really warm atmosphere , a proper celebration of Sikh values set by the vision of Guru Nanak Dev Ji"
14814729,2019-12-07 08:43:39,justinmadders,2999868527,Justin Madders,Labour,,Proud that an Ellesmere Port resident is at the forefront of taking on this outrageous system- go Katie!
14583261,2019-11-24 09:28:33,emmadentcoad,244489735,Emma Dent Coad,Labour,,Huge congrats to relentless  @WASPI_Campaign groups across the country. LABOUR LISTENED and will act in government.
14198060,2019-11-01 20:33:34,AngelaRayner,222748037,Angela Rayner 🌈,Labour,,"It is extremely rare l run polls on twitter but with the #GeneralElection19 and the so called Taxpayers Alliance churning their views out, l thought it might be time to seek the views of twitter folk. Please RT for wider participation 👍"
13850092,2019-10-14 08:02:56,AngelaRayner,222748037,Angela Rayner 🌈,Labour,,"Early start as it’s the #StateOpening of @UKParliament later today! MPs will spend several days debating the content of the #QueensSpeech from a government with no majority, strange times indeed."
14841279,2019-12-09 08:06:57,TulipSiddiq,113491007,Tulip Siddiq,Labour,,Hienoa! Suomi taas näyttämässä tietä. (Written with a bit of help from my niece and nephew) #SuomiFamily
14018405,2019-10-22 15:44:07,CatherineWest1,351812038,Catherine West,Labour,,"Really moving to hear patients speaking about life with a rare disease, lots for govt to do to improve outcomes, currently political will lacking."
14355226,2019-11-11 16:00:25,grahamemorris,58821256,Grahame Morris,Labour,,"This is an unholy alliance between Johnson and Farage brokered by Donald Trump to give US companies access to our NHS.
Voters should reject this Thatcherite 1980s tribute act, that will lead to more savage Tory attacks on working class communities. 
Our NHS is not for sale."
14387601,2019-11-13 11:58:16,jeremycorbyn,117777690,Jeremy Corbyn,Labour,,"Great news for people living with cystic fibrosis in Wales who will now be able to access life changing drugs.

Well done to campaigners for standing up to the greed of pharmaceutical companies."
14695923,2019-11-30 13:36:14,RogerGodsiff,236953412,Roger Godsiff,Labour,,For no one to be held account for the deaths of the 96 people who were killed at #Hillsborough is an appalling travesty of justice. My sympathies are with the families of victims who have been suffering with agonising despair these past 30 years.
14344675,2019-11-10 22:32:50,JoStevensLabour,1328897358,Jo Stevens,Labour,,"International Grand Committee evidence hearing in Dublin which I, @IanCLucas &amp; @DamianCollins from @CommonsCMS were due to be at. Watch this 2 minute extract from @carolecadwalla brilliantly summarising how we, the British electorate were scammed by @facebook &amp; the PM."
14719224,2019-12-02 09:35:45,Chris_RuaneMP,608932775,Chris Ruane,Labour,,"I can also be followed on Facebook - Chris Ruane &amp; ChrisRuane2017 &amp; Instagram - chrisruaneforvaleofclwyd
 My campaign email address is: chrisruane4vofc@gmail.com"
14696964,2019-11-30 15:00:00,ToniaAntoniazzi,2855602085,Tonia Antoniazzi,Labour,,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Brilliant to see @WelshRugbyUnion women and men play back to back today. I hope it's the first step of many in raising the prominence of the women's game in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
14769202,2019-12-04 19:36:59,ACunninghamMP,143739561,Alex Cunningham MP,Labour,,So I suppose she expects people across the country forced further into poverty because of her and her LidDem Colleagues' decisions should simply forgive her?
14534655,2019-11-21 11:31:53,MarshadeCordova,189280488,Marsha de Cordova,Labour,,"Jeremy Corbyn: The Conservatives want to use Brexit to unleash Thatcherism on steroids. 
That's why Mr Johnson is willing to sell out our NHS. 
#LabourManifesto"
14808975,2019-12-06 20:37:24,AngelaRayner,222748037,Angela Rayner 🌈,Labour,,"Boris Johnson mentions Education twice in opening remarks yet the Tories have been a complete disaster with cuts to school funding. Tories as everybody knows have failed education, bluff and bluster cannot dampen down that reality #Leadersdebate"
14599868,2019-11-25 11:04:39,AngelaRayner,222748037,Angela Rayner 🌈,Labour,,"Tory candidate who has been the Tory MP for the area says on child poverty “l can’t personally do anything about it” What? 😳 You have been in government 9 years! Then he says it’s Labour’s fault&amp;quotes the 1950’s, Pathetic! #VoteLabourDecember12 #GeneralElection2019 #RealChange"
14037348,2019-10-23 14:09:19,IanCLucas,121762421,Ian Lucas MP,Labour,,"Participation rates in cricket fell from 403,000 to 279,000 2011 to 2016. I am not convinced by the ECB that they have the strategy to change this, though glad some live cricket will be on free to air."
14231364,2019-11-04 13:58:47,leicesterliz,105800463,Liz Kendall,Labour,,"I’ll be voting for @HarrietHarman - a strong and hugely experienced woman who will champion the rights of backbenchers, and stand up for all MPs in these difficult and volatile times"
14717425,2019-12-02 07:27:01,EmmaHardyMP,499590887,Vote Emma Hardy for Hull West and Hessle on Dec 12,Labour,,This would really help #Hulls economy when linked to more frequent trains to Leeds and direct link to Manchester.
14465918,2019-11-17 20:36:35,JoStevensLabour,1328897358,Jo Stevens,Labour,,.@NickTorfaen head and shoulders above the other party representatives on this #ITVWalesDebate Answering not avoiding questions. On top of the detail. Brilliant #GE2019 #VoteLabour @WelshLabour
