id,created_at,from_user_name,from_user_id,from_user_realname,party,region,text
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS"
22076215,2020-10-31 14:31:25,SenJeffMerkley,29201047,Senator Jeff Merkley,Democrat,OR,"Covid relief is critical to helping families. It’s also about ensuring that state &amp; local governments have the resources to get this pandemic under control. There’s no back to ‘normal’ until states have the resources they need to get safe, effective vaccines out to communities."
20829330,2020-09-10 19:49:08,SenatorDurbin,247334603,Senator Dick Durbin,Democrat,IL,Pres. Trump says nothing about Putin poisoning oppo politicians or of Russian bounties on our U.S. military. But he boasts of protecting the Saudi leader after our own intel found that he was responsible for murder of U.S. resident &amp; journalist Jamal Khashoggi. Another new low.
20794270,2020-09-09 15:11:40,SenMarkey,21406834,Ed Markey,Democrat,MA,"The Senate Republican COVID package is insulting to the Americans who have been waiting for months for relief. The extent of the misery is unimaginable &amp; McConnell responds by designing a bill so intentionally weak &amp; insufficient that it’s destined to fail.

It’s a game to them."
21601065,2020-10-13 02:45:50,SenSchumer,17494010,Chuck Schumer,Democrat,NY,Democrats will not stop fighting for the millions of Americans who could have their health coverage ripped away. #WhatsAtStake
20777476,2020-09-09 00:25:54,PattyMurray,293131808,Senator Patty Murray,Democrat,WA,"We'll know Senate Republicans are serious about COVID-19 relief when they stop insisting on harmful policies that have zero chance of becoming law and zero ability to meet our communities' deep needs. Until then, they’re still wasting time people don’t have."
21823973,2020-10-21 15:19:00,SenBobCasey,171598736,Senator Bob Casey,Democrat,PA,"Between the anguished cries of parents who have lost their children and children who have lost their parents, and the grief of over 220,000 families mourning a loved one, this Administration has caused this Nation immeasurable pain. It’s unforgivable."
21856367,2020-10-22 16:00:40,SenatorDurbin,247334603,Senator Dick Durbin,Democrat,IL,"Judge Barrett’s record is full of red flags when it comes to LGBTQ rights. If she is confirmed, the right of Americans to simply be who they are and love who they love is at risk. Marriage equality is at risk. We can’t take that chance—I’m voting to #BlockBarrett."
22065880,2020-10-31 00:26:28,SenBobCasey,171598736,Senator Bob Casey,Democrat,PA,"Not only is this a lie, it’s an insult to the memory of the doctors, nurses and other frontline health care workers who died fighting this virus--and a slap in the face to the families who mourn them. What an absolute disgrace."
21215068,2020-09-26 23:15:32,SenSherrodBrown,43910797,Sherrod Brown,Democrat,OH,"This nomination is a power grab by President Trump and Mitch McConnell when they should be focused on COVID relief.
 
Americans are already voting - they deserve to have a say in whether or not she is their nominee to replace Justice Ginsburg."
22129911,2020-11-02 23:44:28,SenCortezMasto,811313565760163844,Senator Cortez Masto,Democrat,NV,"Aunque es doloroso cuando nuestros seres queridos fallecen, nunca nos dejan verdaderamente, viven en nuestros corazones y pensamientos siempre. Deseándoles a todos celebraciones felices hoy en el Día De Muertos."
21955898,2020-10-27 00:46:39,RonWyden,250188760,Ron Wyden,Democrat,OR,"For decades, Republicans have gamed the system in bad faith to pack the courts with far-right ideologues who will do their dirty work for them. We must consider any solution that can undo this damage and ensure that all Americans are guaranteed equal protection under the law."
21827345,2020-10-21 16:54:43,SenatorDurbin,247334603,Senator Dick Durbin,Democrat,IL,"Yesterday I spoke with @SecPompeo &amp; @HomelandKen to press them on the Trump Admin's dismal refugee resettlement plans. In the midst of the dire global refugee crisis, this Admin coddles dictators while cruelly closing our nation’s doors to the most vulnerable."
21303952,2020-09-30 16:54:30,SenCortezMasto,811313565760163844,Senator Cortez Masto,Democrat,NV,"What's at stake? Take a look for yourself⬇️
 
❌#Medicaid expansion would be repealed for hundreds of thousands of low-income Nevadans
❌#Medicare recipients would face higher prescription drug costs
❌Insurers could once again impose annual &amp; lifetime limits on coverage"
