id,"Your answer: Republican/Democrat. Type: ""r"" or ""d""",Tweet text
21999164,r,"#NorthDakota is the premiere location for UAS, with partnerships & expertise that reach across all levels of government, the military, private industry and our world-class universities and we appreciate these two joining us to highlight #NDUAS’s leadership."
21578520,d,Thank you to @CoryBooker @jonlovett @priaribi @DickDurbin @JeffMerkley @SherrodBrown @BradleyWhitford @jonfavs @ParkerMolloy @stabenow @TeamHeinrich and everyone else. Just awe inspiring.
20712773,d,"Three years ago Trump tried to end DACA.

He failed in the courts, but Dreamers still face uncertainty today.

On day one @JoeBiden will send a bill to Congress to create a path to citizenship for Dreamers and the 11M undocumented people who've strengthened our country for years."
21955696,r,"The republican senate has confirmed 220 federal judges nominated by @realDonaldTrump incl 3 Supreme Court justices w 2nite’s confirmation of Justice Amy Coney Barrett This is another PROMISE MADE, PROMISE KEPT by Pres Trump"
20701356,r,"This connection to the homeland is very valuable for our military members.  

Stars and Stripes provides a valuable service to our men and women in uniform. 

Well done, Mr. President."
21538771,d,"It's simple: we cannot go back to the days when abortion was available only to the wealthy, was unsafe, or both. We need to defend & expand access to reproductive care—which is why people are speaking up against Republicans rushing Judge Barrett onto the SCOTUS. #RoeVWade"
20971602,d,BRT’s members need to get a handle on their trade groups. Just last week @TechNetUpdate came to Congress with thirteen pages of legislative priorities that didn’t mention climate change or carbon price.
21803902,d,"Good news for Tennessee—@GM just announced it plans to invest $2 billion to convert its plant in Spring Hill to build future electric vehicles, including the new @Cadillac Lyriq."
20826156,r,Democrats have hung the American people out to dry. @SenateGOP proposed targeted #coronavirus relief for those hardest hit. Democrats clearly have different goals in mind: playing games for political gain. Republicans will continue to fight for Americans.
21141977,d,I'll be doing absolutely everything I can to make sure everyone from WA state to Washington DC—& Senate Republicans—knows just how much is at risk if President Trump gets to appoint another hard-right nominee an unprecedented 41 days before a presidential election.
21084951,d,"Welcome home, #MOTF1! We’re always so proud of all you do to help people in need at a moment’s notice"
22082493,d,"Looking for a Halloween scare? According to @ProtectOurCare, there's over 135 million Americans with a pre-existing condition. And if Donald Trump's corporate SCOTUS overturns the ACA, they all lose lifesaving protections. That number should send shivers down everyone’s spine."
21628934,d,Yet another example of why Trump & Republican senators are working hard to steal this Supreme Court seat: they want to hand the Court to extremists & undermine our democracy. The judiciary absolutely should not approve the Trump administration's efforts to corrupt the Census.
21027334,d,"Ruth Bader Ginsburg was a giant. The world is a different place because of her. More than the laws she forged are the lives she touched. She will always be an American icon—breaking barriers w/courage & conviction, & letting nothing stop her from the classroom to the courtroom."
21538591,r,"Because businesses are rejecting the President's irresponsible payroll tax deferral, he has cornered federal employees & service members into this irresponsible tax scheme to save face. Public servants should be able to opt out of this policy."
20824949,d,"Sen. McConnell is trying today to jam through his GOP COVID bill that doesn't help renters keep a roof over their heads or families put food on the table.
 
He isn’t searching for progress—he is looking for political cover.
 
Democrats won't stop fighting for people and families."
21707107,d,"Glad to help launch this initiative as one of the honorary Senate co-chairs. I look forward to working with my colleagues in Congress and the members of the Steering Committee to develop meaningful, bipartisan policies to support public health preparedness and response efforts."
21421093,r,"No rule better exemplifies the inflexible command-and-control mechanism than the Clinton-era “Once In, Always In” rule. The finalization of this rule is welcome news and I am proud to see @POTUS' @EPA continue to make great deregulatory successes."
21385909,d,At this point not contact tracing is a choice the White House made. It’s not even like they would need to do it themselves. They can just pick up the phone and ask the CDC to do it for them.  What’s likely happening here is they don’t want to know how many people are infected.
21486363,d,"But make no mistake, the President could have worked with Congress to get real relief for all Americans during the greatest crisis of our lifetimes. 

Instead, he showed us yet again who he really is."
21824873,d,"That’s why they’re rushing Judge Barrett’s nomination through with just 13 days until Election Day. In the midst of a global pandemic, Republicans are putting health care for millions of Americans at risk by putting an outspoken critic of the ACA on the court."
21207699,d,"My bipartisan bill w/ @SenBrianSchatz, the 2020 Census Deadline Extensions Act, is still important to provide certainty & clarity to the @uscensusbureau that they'll have the time needed to finish counting operations & data processing, ensuring an accurate count."
21172899,r,This is the biggest scandal and the gravest abuse of the law in FBI history. Using Russian spies to interfere in a presidential election. Talk about collusion
21803683,d,"Reminder: 65 million seniors rely on Medicare. 
 
Judge Barrett couldn't even say whether or not she believes it's constitutional. 
 
She should not be elevated to our highest court."
21699115,d,"This #WorldFoodDay, I’m grateful for the work of so many in Delaware – from our farmers, to school lunch workers, to folks working in food pantries and nonprofits – who are helping provide food to families who need it most.

#WFDchat"
21106275,d,"This isn’t just another political fight in Washington. There’s so much at stake for every single American.

- The future of the #ACA. 

- Women’s reproductive freedom. 

- The rights of workers to organize. 

- Voting rights. 

- The health of our planet. 

Let’s fight together."
21114910,d,"More than 6 months into this pandemic, countless priorities to rebuild our country—improved national testing, enforceable health & safety standards, robust relief funding—are at a standstill in Mitch McConnell’s Senate."
20855533,d,"Everyone living with disabilities deserves equal access to homes that both accommodate their needs & provide a safe environment for them to thrive. 

As a basic starting point, our federal housing programs must reflect that goal."
21829380,r,"Hard to believe that Senate Democrats just voted AGAIN to block COVID relief. There are Americans who can't feed their families because of the economic side effects of COVID-19 shutdowns, yet Democrats still refuse to act unless GOP allows 2.4 trillion in irresponsible spending."
21951762,d,"Reno’s local artists are not only bringing our community together during this challenging time, but they’re also showing off NV pride & unity in @usmayors’ #CitySongProject. Listen to them sing here ⬇️"
20902940,r,"You got that right, @realDonaldTrump.

Hillary Clinton “acid washed” her email server. 

The Mueller team wiped their phones clean. 

Imagine how incriminating that evidence must’ve been."
21481840,d,"As part of my efforts to support those recovering from opioid addiction, @HHSGov has now issued guidance for the implementation of my legislation helping states support family-focused residential treatment. This was passed as part of the SUPPORT Act, and is a great step forward!"
21648985,r,"“A judge may never subvert the law or twist it in any way to match the judge’s convictions from whatever source they derive.” —Judge Amy Coney Barrett

This didn’t use to be a novel concept."
22010643,d,The ACA protects millions of Americans with pre-existing conditions. But Republicans want SCOTUS to strike it down & rushed a new justice to the Court to help. We can't return to dark days of higher costs & less care for sick patients. I’ll keep fighting to save the ACA.
21022197,d,"I am glad the @DeltaRegional Authority is continuing to invest in our communities to expand infrastructure, jobs, and economic development in Mississippi. These upgrades will directly impact nearly 7,500 families."
21648363,d,"Let’s help out Senator Cruz’s memory.  

2016 —  To bias the Supreme Court, Rs steal SCOTUS seat from Obama.

2017 — To bias the court, Rs change standard for closing debate on a SCOTUS nominee. (1/2)"
21944298,d,Why rush through this nomination? Because the Republican Party is scared they can’t win through the democratic process. That they can’t win by playing by the rules. That they can’t win when the American people decide the outcome.
21026137,d,"I'm horrified by the whistleblower complaint from the ICE Irwin County Detention Center. These alleged forced hysterectomies on women are unacceptable, and that's why I'm calling on DHS to conduct an immediate investigation"
21996304,r,"Getting ready to join my colleagues for the @SenateCommerce hearing at 10AM.

Today, these CEOs will answer, on the record and under oath, why they are interfering with free speech and targeting conservatives."
22058539,r,"Great news: #NorthDakota IPP will transition to a permanent program & we’ll continue working with the test site, @GrandSkyND, @NorthDakotaDOT, our universities and administration to make #NDUAS the first to conduct statewide unmanned flights without visual observers."
21132571,d,"Ten years ago, #OTD, the ACA's Patient's Bill of Rights helped put consumers back in charge of their healthcare. 

We must keep up what RBG fought for and expand affordable healthcare options for all."
21857505,d,"Reports that Iran and Russia are trying to meddle in our elections clearly shows that there are those intent on disrupting our democracy.
 
I am glad the @FBI & other federal law enforcement agencies are investigating this. We must protect our free and fair elections."
20771591,r,"This will provide relief to Oklahoma farmers, ranchers, home builders, developers and energy industry that have long been plagued by the unneeded endangered listing of this species. Thanks to @POTUS’ and @USFWS, they will be operating with less red tape and unnecessary obstacles."
21308732,r,"Democrats want to pack the Supreme Court. Vice President Biden refused to rule it out last night. Now Senate Democrats are demanding promises and pre-commitments from Judge Barrett.
 
Judicial independence is vital to the rule of law. Why are Republicans alone in defending it?"
21868142,d,"A nation so deeply divided needs a healer. A uniter. Someone who can transcend partisan divides and start bringing us together again.

We need @JoeBiden."
20937822,d,"What's worse is that these alleged atrocities took place at a private, for-profit facility that ABSURDLY is not subject to transparency laws like #FOIA. It’s unacceptable that companies can profit off taxpayer $ & commit abuses with ZERO public scrutiny. This must change."
20873614,d,It’s been 72 hours since I released 11 years of state and federal tax returns and challenged @HarrisonJaime to do the same. Crickets. What is he hiding?
20997700,r,#ConstitutionDay is a reminder of the rights & freedoms enshrined in our founding document. I’m proud to cosponsor a bipartisan resolution to designate September as #NationalDemocracyMonth—celebrating the need for active reflection & participation in our system of government.
20765661,d,"A great development for #HumanRights in Germany. The #MagnitskyAct holds abusers accountable. And with more countries joining the effort, there will be fewer places for these criminals to hide."
22105383,d,"Businesses are incurring steep costs as they try to reopen in a safe and sustainable manner during the ongoing #COVID19 pandemic. 

That’s why we need to pass my Healthy Workplace Tax Credit to help businesses cover the cost of PPE, cleaning, reconfiguring workspaces & testing."
20964834,d,"Looking forward to today's Senate hearing on the made-in-Montana Blackfoot Clearwater Stewardship Act. 

3 out of 4 Montanans support this commonsense approach to land management—my colleagues in the Senate should follow their lead and vote this bill out of committee."
20824430,d,"Between #COVID19 and the #derecho, Iowans have been faced with unprecedented challenges and many are struggling with mental health issues. It’s always ok to ask for help, and those battling depression or thoughts of suicide should call 1-800-273-8255. #WorldSuicidePreventionDay"
21932044,d,"If qualifications are the only thing that matter, President Trump wouldn’t have vowed to only pick justices who would “terminate” our health care law.

Democrats will not stop fighting for Americans’ health care."
21654463,r,"On the Supreme Court, Judge Amy Coney Barrett will protect and defend the First Amendment for all Americans."
21197288,d,"In the past, medical professionals have failed to uphold the law and have denied care to babies and infants who needed it most. I’m grateful the president is taking a stand to ensure these children have access to life-saving care."
21339720,d,"This isn’t what Americans want from their next Supreme Court justice. Support for Roe v. Wade remains consistently high with 66% of Americans saying they want the decision upheld, according to a poll conducted last week."
21456546,d,"We passed our goal of $50,000 to help @BarbaraBollier win the Kansas Senate race, but Schatz and I aren’t ending this livestream until we hit $60,000. 

So hit that donate button, dammit."
21213838,r,"When Americans elected @POTUS to office in 2016 and expanded the Republican Senate majority in 2018, she was exactly the type of jurist they had in mind."
21875852,r,"Sounds familiar.  Biden record one of broken promises, such that no D defends the ACA's high premiums and deductibles, so he offers a ""new plan"" altogether.  Meanwhile @mjhegar , Bernie, Warren et al push for a government run single-payer system.  Classic bait and switch."
21674741,r,News stories with unnamed sources and leaked information about @realDonaldTrump are allowed and amplified by Twitter and Facebook. #TwitterCensorship
21040125,d,"We’re all in this together as we continue fighting this unprecedented #COVID19 crisis, I urged all Georgians to:
Wash your hands
Watch your distance
Wear a mask
#GAsen #GApol"
21087861,d,The Defending the Integrity of Voting Systems Act provides the DOJ with powerful tools to vigorously prosecute & stop malicious hackers. The President must now—urgently—make it law.
21215068,d,"This nomination is a power grab by President Trump and Mitch McConnell when they should be focused on COVID relief.
 
Americans are already voting - they deserve to have a say in whether or not she is their nominee to replace Justice Ginsburg."
21341829,d,She was never interested in a deal.  Happy to maximize the pain for American people for some cynical perceived political gain.  Sad.
21531583,d,"Where pandemic could have exacerbated conflict zones around the world, the tireless work of these humanitarians have helped meet the needs for the world's most vulnerable and saved countless lives."
21978455,d,"Now that she has been sworn in, litigants in the PA mail-in ballot case have rightly pointed out that Justice Barrett’s “impartiality might reasonably be questioned” and have asked for her to recuse. She should do so, immediately."
20822084,r,"While Democrats claim to be the modern-day champions of combating climate change, they also seem to be banking on perpetual sunshine and steady breezes to power their grid.

This unrealistic, politically driven approach irresponsibly puts families and communities at risk."
