ind,id_str,full_text,label1
42245,1324092498436870144,#FoxNewsIsDead. They shot themselves in the head last night. The Trump children should start the #TrumpNewsNetwork.,r
38022,1313085068563316736,"Scariest thought of all: NOBODY in 
@realDonaldTrump's circle could talk him out of his astonishingly selfish, reckless, photo-op motorcade yesterday. I hope those poor Secret Service agents, pawns in Trump's ongoing megalomaniacal reality show, are well, and won't get Covid-19.",d
4456,1313897794021851136,"“Men build too many walls and not enough bridges.” - Joseph Fort Newton the “I told Trump that the rally looked vanilla on television. Trump responded, ‘That’s because black people are too stupid to vote for me.'” - Michael Cohen",d
24325,1315926256991469568,Joe Biden is mentally disabled. It is OK at his age. But he must be disqualified from the US President election. Just imagine where Biden can (already) lead the country in such condition! Vote Trump to survive your families - this is your the last chance...,r
47772,1313494356490416128,"If you haven’t read Mary L Trump’s book you are cheating your knowledge. Not diagnose his pathology, even though as a Dr. of psychology she’s qualified. She simply lays down a narrative of how that family worked. Donald John Trump is a pampered hothouse flower. No one said “No”",d
44174,1317007338604318720,"New York Times reporter Maggie Haberman was instantly vilified to the point where her name, along with the phrase “MAGA Haberman,” were trending on Twitter. Greenwald",r
13661,1319378319138295808,Raise your hand if you think the reason Biden can stay in his basement is because he knows the DemocRats plan on stealing the election with Mail In Ballots!!!! 🙋‍♂️,r
13615,1320723923223212032,Biden and Kamala devoting tons of energy towards actors and celebrities is the reason many people won't vote for them.,r
36444,1323211388299448320,"TRUM TRUM TRUMP TRUMP TRUMP TRUM TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP
....4 YEARS MOREEEEEE",r
20136,1314008754313199616,The news has been so crazy the past week I forgot #Pence was in charge of the coronavirus task force.  I hope #KamalaHarris lays him out! #BidenHarris2020 #Debates2020,d
10415,1311691011308032000,"GP ""Why does Trump support white supremacists?""

""When did Biden stop beating his wife?""

Same vibe. Same basis in fact.",r
10568,1312082935026155520,"Wonder if tRump knew he had #COVID19 BEFORE the debate, hid it, and hoped to give it to #Biden. Wouldn't put it past him.",d
